posting_date,document_date,cost_center,gl_account,amount,vendor,description
2023-09-10,2023-09-10,CC-NORTH-PS,6010,5110.2,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-11,2023-09-11,CC-NORTH-PS,6010,5733.85,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-12,2023-09-12,CC-NORTH-PS,6010,5163.44,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-13,2023-09-13,CC-NORTH-PS,6010,5502.44,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-14,2023-09-14,CC-NORTH-PS,6010,5940.7,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-15,2023-09-15,CC-NORTH-PS,6010,5127.45,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-16,2023-09-16,CC-NORTH-PS,6010,4959.19,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-17,2023-09-17,CC-NORTH-PS,6010,4763.83,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-18,2023-09-18,CC-NORTH-PS,6010,5356.88,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-19,2023-09-19,CC-NORTH-PS,6010,5600.11,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-20,2023-09-20,CC-NORTH-PS,6010,5277.7,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-21,2023-09-21,CC-NORTH-PS,6010,5476.87,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-22,2023-09-22,CC-NORTH-PS,6010,5600.59,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-23,2023-09-23,CC-NORTH-PS,6010,4747.65,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-24,2023-09-24,CC-NORTH-PS,6010,4709.34,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-25,2023-09-25,CC-NORTH-PS,6010,5642.54,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-26,2023-09-26,CC-NORTH-PS,6010,5507.39,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-27,2023-09-27,CC-NORTH-PS,6010,5041.49,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-28,2023-09-28,CC-NORTH-PS,6010,5371.26,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-29,2023-09-29,CC-NORTH-PS,6010,5517.5,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-30,2023-09-30,CC-NORTH-PS,6010,5321.99,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-10-01,2023-10-01,CC-NORTH-PS,6010,5103.4,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-02,2023-10-02,CC-NORTH-PS,6010,5276.89,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-03,2023-10-03,CC-NORTH-PS,6010,5327.74,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-04,2023-10-04,CC-NORTH-PS,6010,5380.7,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-05,2023-10-05,CC-NORTH-PS,6010,5218.32,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-06,2023-10-06,CC-NORTH-PS,6010,5296.67,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-07,2023-10-07,CC-NORTH-PS,6010,5056.17,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-08,2023-10-08,CC-NORTH-PS,6010,4654.39,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-09,2023-10-09,CC-NORTH-PS,6010,5387.66,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-10,2023-10-10,CC-NORTH-PS,6010,5043.18,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-11,2023-10-11,CC-NORTH-PS,6010,4911.87,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-12,2023-10-12,CC-NORTH-PS,6010,5497.35,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-13,2023-10-13,CC-NORTH-PS,6010,5062.6,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-14,2023-10-14,CC-NORTH-PS,6010,4551.93,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-15,2023-10-15,CC-NORTH-PS,6010,4713.47,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-16,2023-10-16,CC-NORTH-PS,6010,5164.74,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-17,2023-10-17,CC-NORTH-PS,6010,5598.75,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-18,2023-10-18,CC-NORTH-PS,6010,4957.69,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-19,2023-10-19,CC-NORTH-PS,6010,5386.0,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-20,2023-10-20,CC-NORTH-PS,6010,5072.11,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-21,2023-10-21,CC-NORTH-PS,6010,4781.02,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-22,2023-10-22,CC-NORTH-PS,6010,4707.23,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-23,2023-10-23,CC-NORTH-PS,6010,5067.59,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-24,2023-10-24,CC-NORTH-PS,6010,5489.26,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-25,2023-10-25,CC-NORTH-PS,6010,5430.43,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-26,2023-10-26,CC-NORTH-PS,6010,5218.41,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-27,2023-10-27,CC-NORTH-PS,6010,5072.22,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-28,2023-10-28,CC-NORTH-PS,6010,4711.26,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-29,2023-10-29,CC-NORTH-PS,6010,4598.52,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-30,2023-10-30,CC-NORTH-PS,6010,5276.94,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-10-31,2023-10-31,CC-NORTH-PS,6010,5289.08,SearchAds Media,Paid Search acquisition spend — 2023-10
2023-11-01,2023-11-01,CC-NORTH-PS,6010,5326.78,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-02,2023-11-02,CC-NORTH-PS,6010,4926.98,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-03,2023-11-03,CC-NORTH-PS,6010,5136.08,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-04,2023-11-04,CC-NORTH-PS,6010,4576.07,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-05,2023-11-05,CC-NORTH-PS,6010,4609.54,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-06,2023-11-06,CC-NORTH-PS,6010,4993.49,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-07,2023-11-07,CC-NORTH-PS,6010,4833.32,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-08,2023-11-08,CC-NORTH-PS,6010,5307.71,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-09,2023-11-09,CC-NORTH-PS,6010,5340.11,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-10,2023-11-10,CC-NORTH-PS,6010,5357.31,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-11,2023-11-11,CC-NORTH-PS,6010,4508.04,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-12,2023-11-12,CC-NORTH-PS,6010,4679.83,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-13,2023-11-13,CC-NORTH-PS,6010,4919.96,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-14,2023-11-14,CC-NORTH-PS,6010,5414.5,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-15,2023-11-15,CC-NORTH-PS,6010,5316.6,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-16,2023-11-16,CC-NORTH-PS,6010,4799.86,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-17,2023-11-17,CC-NORTH-PS,6010,5417.58,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-18,2023-11-18,CC-NORTH-PS,6010,4838.53,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-19,2023-11-19,CC-NORTH-PS,6010,4776.28,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-20,2023-11-20,CC-NORTH-PS,6010,5069.13,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-21,2023-11-21,CC-NORTH-PS,6010,5037.67,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-22,2023-11-22,CC-NORTH-PS,6010,4957.65,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-23,2023-11-23,CC-NORTH-PS,6010,4922.12,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-24,2023-11-24,CC-NORTH-PS,6010,5220.37,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-25,2023-11-25,CC-NORTH-PS,6010,4797.01,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-26,2023-11-26,CC-NORTH-PS,6010,4501.06,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-27,2023-11-27,CC-NORTH-PS,6010,5250.89,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-28,2023-11-28,CC-NORTH-PS,6010,5341.16,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-29,2023-11-29,CC-NORTH-PS,6010,5132.39,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-11-30,2023-11-30,CC-NORTH-PS,6010,5350.48,SearchAds Media,Paid Search acquisition spend — 2023-11
2023-12-01,2023-12-01,CC-NORTH-PS,6010,5122.41,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-02,2023-12-02,CC-NORTH-PS,6010,4449.01,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-03,2023-12-03,CC-NORTH-PS,6010,4590.2,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-04,2023-12-04,CC-NORTH-PS,6010,4993.0,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-05,2023-12-05,CC-NORTH-PS,6010,5175.02,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-06,2023-12-06,CC-NORTH-PS,6010,4920.58,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-07,2023-12-07,CC-NORTH-PS,6010,5022.89,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-08,2023-12-08,CC-NORTH-PS,6010,4868.09,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-09,2023-12-09,CC-NORTH-PS,6010,4403.21,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-10,2023-12-10,CC-NORTH-PS,6010,4598.86,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-11,2023-12-11,CC-NORTH-PS,6010,5196.34,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-12,2023-12-12,CC-NORTH-PS,6010,4625.58,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-13,2023-12-13,CC-NORTH-PS,6010,5103.69,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-14,2023-12-14,CC-NORTH-PS,6010,4909.51,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-15,2023-12-15,CC-NORTH-PS,6010,4881.7,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-16,2023-12-16,CC-NORTH-PS,6010,4404.78,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-17,2023-12-17,CC-NORTH-PS,6010,4469.53,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-18,2023-12-18,CC-NORTH-PS,6010,4843.35,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-19,2023-12-19,CC-NORTH-PS,6010,4843.1,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-20,2023-12-20,CC-NORTH-PS,6010,4677.36,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-21,2023-12-21,CC-NORTH-PS,6010,4765.99,SearchAds Media,Paid Search acquisition spend — 2023-12
2023-12-22,2023-12-22,CC-NORTH-PS,6010,5331.6,SearchAds Media,Paid Search acquisition spend — 2023-12
