date,entity,region,service_territory,segment,product_type,contract_term_months,customer_size_tier,customer_class,reference_type,volume_in_ref,volume_converted_ref,cost_ref,cpa_ref,cogs_ref,ltv_ref,margin_ref
2024-04-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1056,898,98736.0,110.0,40.0,180.0,36.0
2024-05-01,ERCOT,North,Oncor,Telemarketing,Term,12,residential,single_family,plan,1148,976,107352.96,110.0,40.0,180.0,36.0
2023-05-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1435,1263,113667.84,90.0,34.0,272.0,34.0
2023-06-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1411,1242,111787.02,90.0,34.0,272.0,34.0
2023-07-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1361,1198,107775.36,90.0,34.0,272.0,34.0
2023-08-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1476,1299,116868.25,90.0,34.0,272.0,34.0
2023-09-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1310,1153,103783.68,90.0,34.0,272.0,34.0
2023-10-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1320,1162,104544.0,90.0,34.0,272.0,34.0
2023-11-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1267,1115,100362.24,90.0,34.0,272.0,34.0
2023-12-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1173,1032,92878.21,90.0,34.0,272.0,34.0
2024-01-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1270,1117,100552.32,90.0,34.0,272.0,34.0
2024-02-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1173,1032,92878.21,90.0,34.0,272.0,34.0
2024-03-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1210,1064,95800.32,90.0,34.0,272.0,34.0
2024-04-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1320,1162,104544.0,90.0,34.0,272.0,34.0
2024-05-01,ERCOT,South,CenterPoint,Telemarketing,Month_to_Month,,residential,multi_family,plan,1435,1263,113667.84,90.0,34.0,272.0,34.0
2023-05-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1099,945,122899.5,130.0,45.0,270.0,45.0
2023-06-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1093,940,122175.74,130.0,45.0,270.0,45.0
2023-07-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1134,975,126781.2,130.0,45.0,270.0,45.0
2023-08-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1130,972,126359.84,130.0,45.0,270.0,45.0
2023-09-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1059,911,118423.03,130.0,45.0,270.0,45.0
2023-10-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1054,906,117781.3,130.0,45.0,270.0,45.0
2023-11-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,981,844,109689.22,130.0,45.0,270.0,45.0
2023-12-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,977,840,109256.98,130.0,45.0,270.0,45.0
2024-01-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,972,836,108718.79,130.0,45.0,270.0,45.0
2024-02-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,919,790,102701.56,130.0,45.0,270.0,45.0
2024-03-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1008,867,112694.4,130.0,45.0,270.0,45.0
2024-04-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1022,879,114259.6,130.0,45.0,270.0,45.0
2024-05-01,PJM,East,PECO,Direct_Mail,Term,36,small_C&I,,plan,1099,945,122899.5,130.0,45.0,270.0,45.0
2023-05-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1413,1173,82116.22,70.0,32.0,196.0,28.0
2023-06-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1405,1166,81632.63,70.0,32.0,196.0,28.0
2023-07-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1458,1210,84709.8,70.0,32.0,196.0,28.0
2023-08-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1453,1206,84428.26,70.0,32.0,196.0,28.0
2023-09-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1362,1130,79125.23,70.0,32.0,196.0,28.0
2023-10-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1354,1124,78696.45,70.0,32.0,196.0,28.0
2023-11-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1261,1047,73289.66,70.0,32.0,196.0,28.0
2023-12-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1256,1043,73000.86,70.0,32.0,196.0,28.0
2024-01-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1250,1038,72641.27,70.0,32.0,196.0,28.0
2024-02-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1181,980,68620.81,70.0,32.0,196.0,28.0
2024-03-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1296,1076,75297.6,70.0,32.0,196.0,28.0
2024-04-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1314,1091,76343.4,70.0,32.0,196.0,28.0
2024-05-01,PJM,East,PECO,Online_Partner,Month_to_Month,,residential,single_family,plan,1413,1173,82116.22,70.0,32.0,196.0,28.0
2024-03-01,ERCOT,West,AEP_Texas,Direct_Mail,Term,12,residential,single_family,plan,864,726,61689.6,85.0,30.0,150.0,30.0
2024-04-01,ERCOT,West,AEP_Texas,Direct_Mail,Term,12,residential,single_family,plan,876,736,62546.4,85.0,30.0,150.0,30.0
2024-05-01,ERCOT,West,AEP_Texas,Direct_Mail,Term,12,residential,single_family,plan,942,791,67275.94,85.0,30.0,150.0,30.0
2024-05-01,ERCOT,West,AEP_Texas,Telemarketing,Term,24,large_C&I,,plan,598,490,61295.0,125.0,44.0,264.0,44.0
2023-05-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,478,416,58269.12,140.0,46.0,288.0,48.0
2023-06-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,470,409,57304.96,140.0,46.0,288.0,48.0
2023-07-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,454,395,55248.48,140.0,46.0,288.0,48.0
2023-08-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,492,428,59909.73,140.0,46.0,288.0,48.0
2023-09-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,437,380,53202.24,140.0,46.0,288.0,48.0
2023-10-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,440,383,53592.0,140.0,46.0,288.0,48.0
2023-11-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,422,367,51448.32,140.0,46.0,288.0,48.0
2023-12-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,391,340,47611.81,140.0,46.0,288.0,48.0
2024-01-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,423,368,51545.76,140.0,46.0,288.0,48.0
2024-02-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,391,340,47611.81,140.0,46.0,288.0,48.0
2024-03-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,403,351,49109.76,140.0,46.0,288.0,48.0
2024-04-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,440,383,53592.0,140.0,46.0,288.0,48.0
2024-05-01,PJM,East,BGE,Inbound_Call_Center,Term,36,large_C&I,,plan,478,416,58269.12,140.0,46.0,288.0,48.0
2023-05-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1570,1335,96108.48,72.0,31.0,189.0,27.0
2023-06-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1561,1327,95542.49,72.0,31.0,189.0,27.0
2023-07-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1620,1377,99144.0,72.0,31.0,189.0,27.0
2023-08-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1615,1372,98814.49,72.0,31.0,189.0,27.0
2023-09-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1513,1286,92607.84,72.0,31.0,189.0,27.0
2023-10-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1505,1279,92106.0,72.0,31.0,189.0,27.0
2023-11-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1402,1191,85777.92,72.0,31.0,189.0,27.0
2023-12-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1396,1187,85439.91,72.0,31.0,189.0,27.0
2024-01-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1389,1181,85019.04,72.0,31.0,189.0,27.0
2024-02-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1312,1115,80313.51,72.0,31.0,189.0,27.0
2024-03-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1440,1224,88128.0,72.0,31.0,189.0,27.0
2024-04-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1460,1241,89352.0,72.0,31.0,189.0,27.0
2024-05-01,ERCOT,North,Oncor,Online_Partner,Month_to_Month,,residential,multi_family,plan,1570,1335,96108.48,72.0,31.0,189.0,27.0
2023-05-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1382,1188,133109.62,112.0,40.0,180.0,36.0
2023-06-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1374,1181,132325.72,112.0,40.0,180.0,36.0
2023-07-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1426,1226,137313.79,112.0,40.0,180.0,36.0
2023-08-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1421,1222,136857.42,112.0,40.0,180.0,36.0
2023-09-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1332,1145,128261.25,112.0,40.0,180.0,36.0
2023-10-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1324,1139,127566.21,112.0,40.0,180.0,36.0
2023-11-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1233,1061,118801.86,112.0,40.0,180.0,36.0
2023-12-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1229,1057,118333.72,112.0,40.0,180.0,36.0
2024-01-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1222,1051,117750.81,112.0,40.0,180.0,36.0
2024-02-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1155,993,111233.69,112.0,40.0,180.0,36.0
2024-03-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1267,1090,122056.7,112.0,40.0,180.0,36.0
2024-04-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1285,1105,123751.94,112.0,40.0,180.0,36.0
2024-05-01,PJM,East,PECO,Web_Direct,Term,12,residential,multi_family,plan,1382,1188,133109.62,112.0,40.0,180.0,36.0
2023-05-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1316,1131,135769.92,120.0,40.0,152.0,38.0
2023-06-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1294,1113,133523.39,120.0,40.0,152.0,38.0
2023-07-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1247,1073,128731.68,120.0,40.0,152.0,38.0
2023-08-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1353,1163,139592.63,120.0,40.0,152.0,38.0
2023-09-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1201,1033,123963.84,120.0,40.0,152.0,38.0
2023-10-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1210,1041,124872.0,120.0,40.0,152.0,38.0
2023-11-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1162,999,119877.12,120.0,40.0,152.0,38.0
2023-12-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1075,924,110937.86,120.0,40.0,152.0,38.0
2024-01-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1164,1001,120104.16,120.0,40.0,152.0,38.0
2024-02-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1075,924,110937.86,120.0,40.0,152.0,38.0
2024-03-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1109,954,114428.16,120.0,40.0,152.0,38.0
2024-04-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1210,1041,124872.0,120.0,40.0,152.0,38.0
2024-05-01,ERCOT,North,Oncor,Door_to_Door,Term,24,residential,single_family,plan,1316,1131,135769.92,120.0,40.0,152.0,38.0
