date,entity,segment,product_type,volume_in,volume_converted,volume_lost,revenue_per_unit
2023-08-06,ERCOT North,Paid Search,Term,54,46,8,76.3
2023-08-07,ERCOT North,Paid Search,Term,57,47,10,79.05
2023-08-08,ERCOT North,Paid Search,Term,60,53,7,77.18
2023-08-09,ERCOT North,Paid Search,Term,57,51,6,77.67
2023-08-10,ERCOT North,Paid Search,Term,60,54,6,76.04
2023-08-11,ERCOT North,Paid Search,Term,56,47,9,75.75
2023-08-12,ERCOT North,Paid Search,Term,57,49,8,77.0
2023-08-13,ERCOT North,Paid Search,Term,54,46,8,76.99
2023-08-14,ERCOT North,Paid Search,Term,59,51,8,77.73
2023-08-15,ERCOT North,Paid Search,Term,57,50,7,79.06
2023-08-16,ERCOT North,Paid Search,Term,59,51,8,76.65
2023-08-17,ERCOT North,Paid Search,Term,58,51,7,77.76
2023-08-18,ERCOT North,Paid Search,Term,61,53,8,79.82
2023-08-19,ERCOT North,Paid Search,Term,51,45,6,80.63
2023-08-20,ERCOT North,Paid Search,Term,57,51,6,78.17
2023-08-21,ERCOT North,Paid Search,Term,55,48,7,78.61
2023-08-22,ERCOT North,Paid Search,Term,58,50,8,77.36
2023-08-23,ERCOT North,Paid Search,Term,55,47,8,77.44
2023-08-24,ERCOT North,Paid Search,Term,59,50,9,77.34
2023-08-25,ERCOT North,Paid Search,Term,60,51,9,75.21
2023-08-26,ERCOT North,Paid Search,Term,53,45,8,77.52
2023-08-27,ERCOT North,Paid Search,Term,57,49,8,77.58
2023-08-28,ERCOT North,Paid Search,Term,59,53,6,79.42
2023-08-29,ERCOT North,Paid Search,Term,62,54,8,78.32
2023-08-30,ERCOT North,Paid Search,Term,55,46,9,80.12
2023-08-31,ERCOT North,Paid Search,Term,59,51,8,76.46
2023-09-01,ERCOT North,Paid Search,Term,60,52,8,76.25
2023-09-02,ERCOT North,Paid Search,Term,54,48,6,77.62
2023-09-03,ERCOT North,Paid Search,Term,54,46,8,78.31
2023-09-04,ERCOT North,Paid Search,Term,61,52,9,77.31
2023-09-05,ERCOT North,Paid Search,Term,57,49,8,76.27
2023-09-06,ERCOT North,Paid Search,Term,57,48,9,75.41
2023-09-07,ERCOT North,Paid Search,Term,59,50,9,78.5
2023-09-08,ERCOT North,Paid Search,Term,59,50,9,76.84
2023-09-09,ERCOT North,Paid Search,Term,54,47,7,74.83
2023-09-10,ERCOT North,Paid Search,Term,50,42,8,76.49
2023-09-11,ERCOT North,Paid Search,Term,61,50,11,79.19
2023-09-12,ERCOT North,Paid Search,Term,53,46,7,74.8
2023-09-13,ERCOT North,Paid Search,Term,61,51,10,77.38
2023-09-14,ERCOT North,Paid Search,Term,60,51,9,77.25
2023-09-15,ERCOT North,Paid Search,Term,56,49,7,75.67
2023-09-16,ERCOT North,Paid Search,Term,50,43,7,78.53
2023-09-17,ERCOT North,Paid Search,Term,51,44,7,78.6
2023-09-18,ERCOT North,Paid Search,Term,59,51,8,79.03
2023-09-19,ERCOT North,Paid Search,Term,55,45,10,80.04
2023-09-20,ERCOT North,Paid Search,Term,52,45,7,77.41
2023-09-21,ERCOT North,Paid Search,Term,59,51,8,77.79
2023-09-22,ERCOT North,Paid Search,Term,57,48,9,77.35
2023-09-23,ERCOT North,Paid Search,Term,56,48,8,77.38
2023-09-24,ERCOT North,Paid Search,Term,56,47,9,76.92
2023-09-25,ERCOT North,Paid Search,Term,58,50,8,77.94
2023-09-26,ERCOT North,Paid Search,Term,60,51,9,78.26
2023-09-27,ERCOT North,Paid Search,Term,56,47,9,75.74
2023-09-28,ERCOT North,Paid Search,Term,61,53,8,78.25
2023-09-29,ERCOT North,Paid Search,Term,57,48,9,77.49
2023-09-30,ERCOT North,Paid Search,Term,47,41,6,78.55
2023-10-01,ERCOT North,Paid Search,Term,52,46,6,77.33
2023-10-02,ERCOT North,Paid Search,Term,55,46,9,78.66
2023-10-03,ERCOT North,Paid Search,Term,57,47,10,75.76
2023-10-04,ERCOT North,Paid Search,Term,52,45,7,76.73
2023-10-05,ERCOT North,Paid Search,Term,55,47,8,77.44
2023-10-06,ERCOT North,Paid Search,Term,52,43,9,74.76
2023-10-07,ERCOT North,Paid Search,Term,49,42,7,75.19
2023-10-08,ERCOT North,Paid Search,Term,47,40,7,79.66
2023-10-09,ERCOT North,Paid Search,Term,56,48,8,77.69
2023-10-10,ERCOT North,Paid Search,Term,56,47,9,77.91
2023-10-11,ERCOT North,Paid Search,Term,55,47,8,78.28
2023-10-12,ERCOT North,Paid Search,Term,53,48,5,76.77
2023-10-13,ERCOT North,Paid Search,Term,57,49,8,78.24
2023-10-14,ERCOT North,Paid Search,Term,49,43,6,76.58
2023-10-15,ERCOT North,Paid Search,Term,53,46,7,76.7
2023-10-16,ERCOT North,Paid Search,Term,54,46,8,78.03
2023-10-17,ERCOT North,Paid Search,Term,56,48,8,77.12
2023-10-18,ERCOT North,Paid Search,Term,53,45,8,77.8
2023-10-19,ERCOT North,Paid Search,Term,54,47,7,77.47
2023-10-20,ERCOT North,Paid Search,Term,53,46,7,77.82
2023-10-21,ERCOT North,Paid Search,Term,52,44,8,76.91
2023-10-22,ERCOT North,Paid Search,Term,50,45,5,77.56
2023-10-23,ERCOT North,Paid Search,Term,55,47,8,77.56
2023-10-24,ERCOT North,Paid Search,Term,51,44,7,76.29
2023-10-25,ERCOT North,Paid Search,Term,53,46,7,77.75
2023-10-26,ERCOT North,Paid Search,Term,55,47,8,78.38
2023-10-27,ERCOT North,Paid Search,Term,55,47,8,79.7
2023-10-28,ERCOT North,Paid Search,Term,47,41,6,78.3
2023-10-29,ERCOT North,Paid Search,Term,49,43,6,77.73
2023-10-30,ERCOT North,Paid Search,Term,59,50,9,76.25
2023-10-31,ERCOT North,Paid Search,Term,56,50,6,79.64
2023-11-01,ERCOT North,Paid Search,Term,53,44,9,75.52
2023-11-02,ERCOT North,Paid Search,Term,54,45,9,77.85
2023-11-03,ERCOT North,Paid Search,Term,54,45,9,77.43
2023-11-04,ERCOT North,Paid Search,Term,46,38,8,75.19
2023-11-05,ERCOT North,Paid Search,Term,46,41,5,78.5
2023-11-06,ERCOT North,Paid Search,Term,52,47,5,75.49
2023-11-07,ERCOT North,Paid Search,Term,51,44,7,76.78
2023-11-08,ERCOT North,Paid Search,Term,54,46,8,79.17
2023-11-09,ERCOT North,Paid Search,Term,54,47,7,81.85
2023-11-10,ERCOT North,Paid Search,Term,50,43,7,75.07
2023-11-11,ERCOT North,Paid Search,Term,50,43,7,78.21
2023-11-12,ERCOT North,Paid Search,Term,47,41,6,77.64
2023-11-13,ERCOT North,Paid Search,Term,50,42,8,78.45
2023-11-14,ERCOT North,Paid Search,Term,54,47,7,77.9
2023-11-15,ERCOT North,Paid Search,Term,53,46,7,78.71
2023-11-16,ERCOT North,Paid Search,Term,56,48,8,72.07
2023-11-17,ERCOT North,Paid Search,Term,49,41,8,77.12
2023-11-18,ERCOT North,Paid Search,Term,48,40,8,77.77
2023-11-19,ERCOT North,Paid Search,Term,48,43,5,78.11
2023-11-20,ERCOT North,Paid Search,Term,54,45,9,79.21
2023-11-21,ERCOT North,Paid Search,Term,53,46,7,77.9
2023-11-22,ERCOT North,Paid Search,Term,55,48,7,80.2
2023-11-23,ERCOT North,Paid Search,Term,54,46,8,79.46
2023-11-24,ERCOT North,Paid Search,Term,54,47,7,76.41
2023-11-25,ERCOT North,Paid Search,Term,46,39,7,74.04
2023-11-26,ERCOT North,Paid Search,Term,50,43,7,81.41
2023-11-27,ERCOT North,Paid Search,Term,53,46,7,76.54
2023-11-28,ERCOT North,Paid Search,Term,52,45,7,74.91
2023-11-29,ERCOT North,Paid Search,Term,54,46,8,77.03
2023-11-30,ERCOT North,Paid Search,Term,53,44,9,77.25
2023-12-01,ERCOT North,Paid Search,Term,51,45,6,76.01
2023-12-02,ERCOT North,Paid Search,Term,47,40,7,77.05
2023-12-03,ERCOT North,Paid Search,Term,46,40,6,78.59
2023-12-04,ERCOT North,Paid Search,Term,54,47,7,78.46
2023-12-05,ERCOT North,Paid Search,Term,51,44,7,74.31
2023-12-06,ERCOT North,Paid Search,Term,53,45,8,75.01
2023-12-07,ERCOT North,Paid Search,Term,52,43,9,78.95
2023-12-08,ERCOT North,Paid Search,Term,53,46,7,77.75
2023-12-09,ERCOT North,Paid Search,Term,45,37,8,80.22
2023-12-10,ERCOT North,Paid Search,Term,45,38,7,76.09
2023-12-11,ERCOT North,Paid Search,Term,49,42,7,79.69
2023-12-12,ERCOT North,Paid Search,Term,52,44,8,75.0
2023-12-13,ERCOT North,Paid Search,Term,50,46,4,77.41
2023-12-14,ERCOT North,Paid Search,Term,53,46,7,78.11
2023-12-15,ERCOT North,Paid Search,Term,49,41,8,78.13
2023-12-16,ERCOT North,Paid Search,Term,47,40,7,73.01
2023-12-17,ERCOT North,Paid Search,Term,46,39,7,77.85
2023-12-18,ERCOT North,Paid Search,Term,51,43,8,76.5
2023-12-19,ERCOT North,Paid Search,Term,51,46,5,76.52
2023-12-20,ERCOT North,Paid Search,Term,52,45,7,78.7
2023-12-21,ERCOT North,Paid Search,Term,48,41,7,77.09
2023-12-22,ERCOT North,Paid Search,Term,50,44,6,77.76
2023-12-23,ERCOT North,Paid Search,Term,46,39,7,76.96
2023-12-24,ERCOT North,Paid Search,Term,48,42,6,76.78
2023-12-25,ERCOT North,Paid Search,Term,52,45,7,77.21
2023-12-26,ERCOT North,Paid Search,Term,52,44,8,76.8
2023-12-27,ERCOT North,Paid Search,Term,54,47,7,76.83
2023-12-28,ERCOT North,Paid Search,Term,54,48,6,76.49
2023-12-29,ERCOT North,Paid Search,Term,52,47,5,78.96
2023-12-30,ERCOT North,Paid Search,Term,49,42,7,78.16
2023-12-31,ERCOT North,Paid Search,Term,47,40,7,76.9
2024-01-01,ERCOT North,Paid Search,Term,48,41,7,76.88
2024-01-02,ERCOT North,Paid Search,Term,53,45,8,81.98
2024-01-03,ERCOT North,Paid Search,Term,49,42,7,75.66
2024-01-04,ERCOT North,Paid Search,Term,50,44,6,78.53
2024-01-05,ERCOT North,Paid Search,Term,51,42,9,75.96
2024-01-06,ERCOT North,Paid Search,Term,44,37,7,72.79
2024-01-07,ERCOT North,Paid Search,Term,45,38,7,78.22
2024-01-08,ERCOT North,Paid Search,Term,49,43,6,73.42
2024-01-09,ERCOT North,Paid Search,Term,53,44,9,77.12
2024-01-10,ERCOT North,Paid Search,Term,50,42,8,76.65
2024-01-11,ERCOT North,Paid Search,Term,50,44,6,75.99
2024-01-12,ERCOT North,Paid Search,Term,49,43,6,78.31
2024-01-13,ERCOT North,Paid Search,Term,46,40,6,78.15
2024-01-14,ERCOT North,Paid Search,Term,44,39,5,78.66
2024-01-15,ERCOT North,Paid Search,Term,50,42,8,75.46
2024-01-16,ERCOT North,Paid Search,Term,49,42,7,77.21
2024-01-17,ERCOT North,Paid Search,Term,56,49,7,75.97
2024-01-18,ERCOT North,Paid Search,Term,50,43,7,76.73
2024-01-19,ERCOT North,Paid Search,Term,53,45,8,78.16
2024-01-20,ERCOT North,Paid Search,Term,45,37,8,78.68
2024-01-21,ERCOT North,Paid Search,Term,42,35,7,75.78
2024-01-22,ERCOT North,Paid Search,Term,52,46,6,79.4
2024-01-23,ERCOT North,Paid Search,Term,49,42,7,78.03
2024-01-24,ERCOT North,Paid Search,Term,57,49,8,75.65
2024-01-25,ERCOT North,Paid Search,Term,53,46,7,80.6
2024-01-26,ERCOT North,Paid Search,Term,50,43,7,78.84
2024-01-27,ERCOT North,Paid Search,Term,48,42,6,77.92
2024-01-28,ERCOT North,Paid Search,Term,47,41,6,75.66
2024-01-29,ERCOT North,Paid Search,Term,53,47,6,80.45
2024-01-30,ERCOT North,Paid Search,Term,51,44,7,76.64
2024-01-31,ERCOT North,Paid Search,Term,48,42,6,77.18
2024-02-01,ERCOT North,Paid Search,Term,52,45,7,77.53
2024-02-02,ERCOT North,Paid Search,Term,52,44,8,77.65
2024-02-03,ERCOT North,Paid Search,Term,47,41,6,78.87
2024-02-04,ERCOT North,Paid Search,Term,45,37,8,77.89
2024-02-05,ERCOT North,Paid Search,Term,50,43,7,75.15
2024-02-06,ERCOT North,Paid Search,Term,52,45,7,79.01
2024-02-07,ERCOT North,Paid Search,Term,50,43,7,77.19
2024-02-08,ERCOT North,Paid Search,Term,50,42,8,78.26
2024-02-09,ERCOT North,Paid Search,Term,49,41,8,79.15
2024-02-10,ERCOT North,Paid Search,Term,47,41,6,76.79
2024-02-11,ERCOT North,Paid Search,Term,48,41,7,75.81
2024-02-12,ERCOT North,Paid Search,Term,52,45,7,78.83
2024-02-13,ERCOT North,Paid Search,Term,54,47,7,75.71
2024-02-14,ERCOT North,Paid Search,Term,53,44,9,75.54
2024-02-15,ERCOT North,Paid Search,Term,53,45,8,79.49
2024-02-16,ERCOT North,Paid Search,Term,54,46,8,79.17
2024-02-17,ERCOT North,Paid Search,Term,47,40,7,80.35
2024-02-18,ERCOT North,Paid Search,Term,45,38,7,79.66
2024-02-19,ERCOT North,Paid Search,Term,51,43,8,75.6
2024-02-20,ERCOT North,Paid Search,Term,52,45,7,75.5
2024-02-21,ERCOT North,Paid Search,Term,52,45,7,78.1
2024-02-22,ERCOT North,Paid Search,Term,52,44,8,77.92
2024-02-23,ERCOT North,Paid Search,Term,52,46,6,78.26
2024-02-24,ERCOT North,Paid Search,Term,46,39,7,76.12
2024-02-25,ERCOT North,Paid Search,Term,44,39,5,75.75
2024-02-26,ERCOT North,Paid Search,Term,51,44,7,78.87
2024-02-27,ERCOT North,Paid Search,Term,51,42,9,73.83
2024-02-28,ERCOT North,Paid Search,Term,50,43,7,78.2
2024-02-29,ERCOT North,Paid Search,Term,48,40,8,76.3
2024-03-01,ERCOT North,Paid Search,Term,54,48,6,78.5
2024-03-02,ERCOT North,Paid Search,Term,47,40,7,79.39
2024-03-03,ERCOT North,Paid Search,Term,46,39,7,75.51
2024-03-04,ERCOT North,Paid Search,Term,53,45,8,76.99
2024-03-05,ERCOT North,Paid Search,Term,55,50,5,75.28
2024-03-06,ERCOT North,Paid Search,Term,52,44,8,78.1
2024-03-07,ERCOT North,Paid Search,Term,48,41,7,77.57
2024-03-08,ERCOT North,Paid Search,Term,54,45,9,80.11
2024-03-09,ERCOT North,Paid Search,Term,47,40,7,75.07
2024-03-10,ERCOT North,Paid Search,Term,50,43,7,77.89
2024-03-11,ERCOT North,Paid Search,Term,55,48,7,79.27
2024-03-12,ERCOT North,Paid Search,Term,52,46,6,79.73
2024-03-13,ERCOT North,Paid Search,Term,55,47,8,78.92
2024-03-14,ERCOT North,Paid Search,Term,55,48,7,79.43
2024-03-15,ERCOT North,Paid Search,Term,53,46,7,74.86
2024-03-16,ERCOT North,Paid Search,Term,48,42,6,77.67
2024-03-17,ERCOT North,Paid Search,Term,49,42,7,74.55
2024-03-18,ERCOT North,Paid Search,Term,56,47,9,79.69
2024-03-19,ERCOT North,Paid Search,Term,52,44,8,75.38
2024-03-20,ERCOT North,Paid Search,Term,51,42,9,79.16
2024-03-21,ERCOT North,Paid Search,Term,53,46,7,77.78
2024-03-22,ERCOT North,Paid Search,Term,54,47,7,75.89
2024-03-23,ERCOT North,Paid Search,Term,46,40,6,75.97
2024-03-24,ERCOT North,Paid Search,Term,41,36,5,78.29
2024-03-25,ERCOT North,Paid Search,Term,48,41,7,74.92
2024-03-26,ERCOT North,Paid Search,Term,50,45,5,76.26
2024-03-27,ERCOT North,Paid Search,Term,55,46,9,74.45
2024-03-28,ERCOT North,Paid Search,Term,51,43,8,79.15
2024-03-29,ERCOT North,Paid Search,Term,57,49,8,77.91
2024-03-30,ERCOT North,Paid Search,Term,49,43,6,77.11
2024-03-31,ERCOT North,Paid Search,Term,49,42,7,79.99
2024-04-01,ERCOT North,Paid Search,Term,57,48,9,77.26
2024-04-02,ERCOT North,Paid Search,Term,55,46,9,77.78
2024-04-03,ERCOT North,Paid Search,Term,54,44,10,75.42
2024-04-04,ERCOT North,Paid Search,Term,50,43,7,75.14
2024-04-05,ERCOT North,Paid Search,Term,53,45,8,77.23
2024-04-06,ERCOT North,Paid Search,Term,48,40,8,77.75
2024-04-07,ERCOT North,Paid Search,Term,51,42,9,80.49
2024-04-08,ERCOT North,Paid Search,Term,56,49,7,77.17
2024-04-09,ERCOT North,Paid Search,Term,53,45,8,75.11
2024-04-10,ERCOT North,Paid Search,Term,55,47,8,77.05
2024-04-11,ERCOT North,Paid Search,Term,59,51,8,77.34
2024-04-12,ERCOT North,Paid Search,Term,55,47,8,76.76
2024-04-13,ERCOT North,Paid Search,Term,46,39,7,80.28
2024-04-14,ERCOT North,Paid Search,Term,51,45,6,77.2
2024-04-15,ERCOT North,Paid Search,Term,52,45,7,78.8
2024-04-16,ERCOT North,Paid Search,Term,58,49,9,78.63
2024-04-17,ERCOT North,Paid Search,Term,54,47,7,76.96
2024-04-18,ERCOT North,Paid Search,Term,54,48,6,76.77
2024-04-19,ERCOT North,Paid Search,Term,57,50,7,76.44
2024-04-20,ERCOT North,Paid Search,Term,48,41,7,78.88
2024-04-21,ERCOT North,Paid Search,Term,51,46,5,76.32
2024-04-22,ERCOT North,Paid Search,Term,56,47,9,76.71
2024-04-23,ERCOT North,Paid Search,Term,59,49,10,76.32
2024-04-24,ERCOT North,Paid Search,Term,52,46,6,75.26
2024-04-25,ERCOT North,Paid Search,Term,60,53,7,77.51
2024-04-26,ERCOT North,Paid Search,Term,52,44,8,78.04
2024-04-27,ERCOT North,Paid Search,Term,47,40,7,75.61
2024-04-28,ERCOT North,Paid Search,Term,51,45,6,77.56
2024-04-29,ERCOT North,Paid Search,Term,53,45,8,81.18
2024-04-30,ERCOT North,Paid Search,Term,57,47,10,78.05
2024-05-01,ERCOT North,Paid Search,Term,56,50,6,79.95
2023-05-01,ERCOT North,Door_to_Door,Month_to_Month,40,33,7,71.19
2023-05-02,ERCOT North,Door_to_Door,Month_to_Month,40,34,6,70.04
2023-05-03,ERCOT North,Door_to_Door,Month_to_Month,45,40,5,69.96
2023-05-04,ERCOT North,Door_to_Door,Month_to_Month,43,38,5,68.4
2023-05-05,ERCOT North,Door_to_Door,Month_to_Month,40,35,5,71.3
2023-05-06,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,70.81
2023-05-07,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,69.09
2023-05-08,ERCOT North,Door_to_Door,Month_to_Month,40,36,4,71.18
2023-05-09,ERCOT North,Door_to_Door,Month_to_Month,45,40,5,71.21
2023-05-10,ERCOT North,Door_to_Door,Month_to_Month,42,36,6,70.18
2023-05-11,ERCOT North,Door_to_Door,Month_to_Month,41,36,5,69.42
2023-05-12,ERCOT North,Door_to_Door,Month_to_Month,44,40,4,69.92
2023-05-13,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,71.54
2023-05-14,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,68.39
2023-05-15,ERCOT North,Door_to_Door,Month_to_Month,42,39,3,68.22
2023-05-16,ERCOT North,Door_to_Door,Month_to_Month,42,37,5,66.47
2023-05-17,ERCOT North,Door_to_Door,Month_to_Month,41,36,5,70.23
2023-05-18,ERCOT North,Door_to_Door,Month_to_Month,42,37,5,69.65
2023-05-19,ERCOT North,Door_to_Door,Month_to_Month,41,35,6,71.31
2023-05-20,ERCOT North,Door_to_Door,Month_to_Month,7,6,1,70.43
2023-05-21,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,69.11
2023-05-22,ERCOT North,Door_to_Door,Month_to_Month,39,33,6,69.24
2023-05-23,ERCOT North,Door_to_Door,Month_to_Month,42,37,5,69.01
2023-05-24,ERCOT North,Door_to_Door,Month_to_Month,42,36,6,67.68
2023-05-25,ERCOT North,Door_to_Door,Month_to_Month,43,38,5,66.78
2023-05-26,ERCOT North,Door_to_Door,Month_to_Month,42,37,5,68.45
2023-05-27,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,69.55
2023-05-28,ERCOT North,Door_to_Door,Month_to_Month,7,6,1,70.82
2023-05-29,ERCOT North,Door_to_Door,Month_to_Month,43,37,6,69.44
2023-05-30,ERCOT North,Door_to_Door,Month_to_Month,42,37,5,70.3
2023-05-31,ERCOT North,Door_to_Door,Month_to_Month,41,36,5,66.6
2023-06-01,ERCOT North,Door_to_Door,Month_to_Month,41,37,4,68.99
2023-06-02,ERCOT North,Door_to_Door,Month_to_Month,46,40,6,71.23
2023-06-03,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,69.13
2023-06-04,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,71.09
2023-06-05,ERCOT North,Door_to_Door,Month_to_Month,43,38,5,70.41
2023-06-06,ERCOT North,Door_to_Door,Month_to_Month,43,38,5,70.77
2023-06-07,ERCOT North,Door_to_Door,Month_to_Month,41,36,5,69.3
2023-06-08,ERCOT North,Door_to_Door,Month_to_Month,44,38,6,70.78
2023-06-09,ERCOT North,Door_to_Door,Month_to_Month,42,36,6,69.94
2023-06-10,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,72.54
2023-06-11,ERCOT North,Door_to_Door,Month_to_Month,6,5,1,69.75
2023-06-12,ERCOT North,Door_to_Door,Month_to_Month,46,40,6,72.54
2023-06-13,ERCOT North,Door_to_Door,Month_to_Month,43,38,5,70.04
2023-06-14,ERCOT North,Door_to_Door,Month_to_Month,42,36,6,72.31
